dataset,mode,run_name,config_hash,git_hash,n_classes,n_samples_test,accuracy,balanced_accuracy,macro_f1,best_epoch,best_value,batch_size_effective,effective_bc,zero_support_classes_test,elapsed_seconds,notes
CWRU,from_scratch,downstream_cwru_patchtst_base,b8c4580d2a3f46ad,b1432447cfc257111aff353a13f2355d1a152c19,4,3331,0.46922845992194534,0.46105759376921496,0.35029588198516365,11,0.24693543367395143,,,,4349.8,[]
CWRU,linear_probing,downstream_cwru_patchtst_base,b8c4580d2a3f46ad,b1432447cfc257111aff353a13f2355d1a152c19,4,3331,0.7808465926148304,0.7559676897367287,0.704608448470637,12,0.6659897804512649,,,,3872.3,[]
CWRU,full_finetuning,downstream_cwru_patchtst_base,b8c4580d2a3f46ad,b1432447cfc257111aff353a13f2355d1a152c19,4,3331,0.14470129090363254,0.33752473735825567,0.16897249962894645,14,0.2551309012236472,,,,4377.5,"[""catastrophic_forgetting""]"
CWRU,full_finetuning_lr1e-5,downstream_cwru_patchtst_base_finetune_lr1e-5,611ed4e09684a58c,7fe07c74b9974764f2f0b0b9a9bc01ec3830d3ee,4,3331,0.8435905133593515,0.9023262331540957,0.8292126809036571,14,0.788408047232491,,,,3563.7,[]
HSG18,from_scratch,downstream_hsg18_patchtst_base_from_scratch,e0a7fe0a1d9174f2,06de36ef666a75164be39f44fdcb4a246761ab62,2,4576,0.569493006993007,0.569493006993007,0.5693189227698675,10,0.5216289799634113,,,,865.7,[]
HSG18,linear_probing,downstream_hsg18_patchtst_base_linear_probing,af415d2e4f1d63b3,06de36ef666a75164be39f44fdcb4a246761ab62,2,4576,0.9055944055944056,0.9055944055944056,0.9055897887323944,15,0.9263769696625209,,,,757.1,[]
HSG18,full_finetuning,downstream_hsg18_patchtst_base_full_ft_lr1e-5,7c8fdac40f15bb87,06de36ef666a75164be39f44fdcb4a246761ab62,2,4576,0.9503933566433567,0.9503933566433567,0.9503931647523997,15,0.957395532509711,,,,848.2,[]
PBCP16,from_scratch,downstream_pbcp16_patchtst_base_from_scratch,cd6bb8ff805f6854,06de36ef666a75164be39f44fdcb4a246761ab62,5,395,0.9113924050632911,0.911392405063291,0.9074450228664981,20,0.890843159793677,,,,41.0,[]
PBCP16,linear_probing,downstream_pbcp16_patchtst_base_linear_probing,fbd1fab585af0773,06de36ef666a75164be39f44fdcb4a246761ab62,5,395,0.8430379746835444,0.8430379746835441,0.8286602758620806,18,0.8140696641568337,,,,36.4,[]
PBCP16,full_finetuning,downstream_pbcp16_patchtst_base_full_ft_lr1e-5,7e46299b48dd4204,06de36ef666a75164be39f44fdcb4a246761ab62,5,395,0.8911392405063291,0.8911392405063291,0.8891366785790484,11,0.8377456696122136,,,,40.9,[]
PHM18,from_scratch,downstream_phm18_patchtst_base_from_scratch,775b9e4f0eaf317b,06de36ef666a75164be39f44fdcb4a246761ab62,3,369,0.6178861788617886,0.3832492997198879,0.36551626136812976,20,0.41462244585114244,,,,93.0,"[""historical_uncapped_batch_v0_1""]"
PHM18,linear_probing,downstream_phm18_patchtst_base_linear_probing,85b8aa4dba0ffcb2,06de36ef666a75164be39f44fdcb4a246761ab62,3,369,0.6097560975609756,0.3415748521630875,0.27390592806552067,12,0.27495772497503096,,,,81.6,"[""historical_uncapped_batch_v0_1""]"
PHM18,full_finetuning,downstream_phm18_patchtst_base_full_ft_lr1e-5,01af0c1fee6a824d,06de36ef666a75164be39f44fdcb4a246761ab62,3,369,0.6178861788617886,0.37033924680983504,0.3406437141366719,19,0.29086661242305284,,,,93.0,"[""historical_uncapped_batch_v0_1""]"
